Optimizer,Epochs,Units_in_Layers,Validation_Accuracy
SGD,5,64,0.392300009727478
SGD,5,128,0.39570000767707825
SGD,5,256,0.43050000071525574
SGD,10,64,0.42559999227523804
SGD,10,128,0.4474000036716461
SGD,10,256,0.45089998841285706
SGD,20,64,0.460099995136261
SGD,20,128,0.48249998688697815
SGD,20,256,0.4902999997138977
RMSprop,5,64,0.38749998807907104
RMSprop,5,128,0.4325000047683716
RMSprop,5,256,0.4422000050544739
RMSprop,10,64,0.4140999913215637
RMSprop,10,128,0.46070000529289246
RMSprop,10,256,0.4607999920845032
RMSprop,20,64,0.4244000017642975
RMSprop,20,128,0.451200008392334
RMSprop,20,256,0.4722999930381775
Adam,5,64,0.4147000014781952
Adam,5,128,0.4442000091075897
Adam,5,256,0.4551999866962433
Adam,10,64,0.43140000104904175
Adam,10,128,0.4666999876499176
Adam,10,256,0.47859999537467957
Adam,20,64,0.4650000035762787
Adam,20,128,0.4702000021934509
Adam,20,256,0.5019000172615051
